tick,wall_time_unix,wall_time_iso,dt_since_start_s,log_line_age_s,mode,j1_deg,j2_deg,v_j1_deg_per_tick,v_j2_deg_per_tick,cx_norm,cy_norm,raw_log_line
0,1776985948.939055,2026-04-23T23:12:28.939055Z,0.17942333221435547,,,,,,,,,
1,1776985949.1537745,2026-04-23T23:12:29.153774Z,0.39414286613464355,,,,,,,,,
2,1776985949.3372102,2026-04-23T23:12:29.337210Z,0.5775785446166992,,,,,,,,,
3,1776985949.5446672,2026-04-23T23:12:29.544667Z,0.7850356101989746,0.20654821395874023,COAST,-29.08,-70.23,0.0,0.01,,,"[COAST] j1=-29.08 j2=-70.23 v=(+0.000,+0.010) (cx=nan, cy=nan)"
4,1776985949.744124,2026-04-23T23:12:29.744124Z,0.984492301940918,0.4060049057006836,COAST,-29.08,-70.23,0.0,0.01,,,"[COAST] j1=-29.08 j2=-70.23 v=(+0.000,+0.010) (cx=nan, cy=nan)"
5,1776985949.9410896,2026-04-23T23:12:29.941090Z,1.1814579963684082,0.6029706001281738,COAST,-29.08,-70.23,0.0,0.01,,,"[COAST] j1=-29.08 j2=-70.23 v=(+0.000,+0.010) (cx=nan, cy=nan)"
6,1776985950.258504,2026-04-23T23:12:30.258504Z,1.4988722801208496,0.9203848838806152,COAST,-29.08,-70.23,0.0,0.01,,,"[COAST] j1=-29.08 j2=-70.23 v=(+0.000,+0.010) (cx=nan, cy=nan)"
7,1776985950.7249963,2026-04-23T23:12:30.724996Z,1.965364694595337,1.3868772983551025,COAST,-29.08,-70.23,0.0,0.01,,,"[COAST] j1=-29.08 j2=-70.23 v=(+0.000,+0.010) (cx=nan, cy=nan)"
8,1776985950.9484649,2026-04-23T23:12:30.948465Z,2.188833236694336,1.6103458404541016,COAST,-29.08,-70.23,0.0,0.01,,,"[COAST] j1=-29.08 j2=-70.23 v=(+0.000,+0.010) (cx=nan, cy=nan)"
9,1776985951.1388485,2026-04-23T23:12:31.138849Z,2.3792169094085693,1.800729513168335,COAST,-29.08,-70.23,0.0,0.01,,,"[COAST] j1=-29.08 j2=-70.23 v=(+0.000,+0.010) (cx=nan, cy=nan)"
10,1776985951.341144,2026-04-23T23:12:31.341144Z,2.581512451171875,2.0030250549316406,COAST,-29.08,-70.23,0.0,0.01,,,"[COAST] j1=-29.08 j2=-70.23 v=(+0.000,+0.010) (cx=nan, cy=nan)"
11,1776985951.5404413,2026-04-23T23:12:31.540441Z,2.7808096408843994,2.202322244644165,COAST,-29.08,-70.23,0.0,0.01,,,"[COAST] j1=-29.08 j2=-70.23 v=(+0.000,+0.010) (cx=nan, cy=nan)"
12,1776985951.7448146,2026-04-23T23:12:31.744815Z,2.985183000564575,2.406695604324341,COAST,-29.08,-70.23,0.0,0.01,,,"[COAST] j1=-29.08 j2=-70.23 v=(+0.000,+0.010) (cx=nan, cy=nan)"
13,1776985951.9330194,2026-04-23T23:12:31.933019Z,3.1733877658843994,2.594900369644165,COAST,-29.08,-70.23,0.0,0.01,,,"[COAST] j1=-29.08 j2=-70.23 v=(+0.000,+0.010) (cx=nan, cy=nan)"
