tick,wall_time_unix,wall_time_iso,dt_since_start_s,raw_det_count,raw_x_px,raw_y_px,raw_conf,raw_depth_m,track_count,track_id,x,y,z,vx,vy,vz,pos_uncertainty,vel_uncertainty,confidence,frame,physics_plausible,physics_valid,filter_used_by_adaptive
0,1776985948.9389963,2026-04-23T23:12:28.938996Z,0.17936468124389648,0,,,,,0,,,,,,,,,,,,,,
1,1776985949.1537085,2026-04-23T23:12:29.153708Z,0.3940768241882324,0,,,,,0,,,,,,,,,,,,,,
2,1776985949.3371446,2026-04-23T23:12:29.337145Z,0.5775129795074463,0,,,,,0,,,,,,,,,,,,,,
3,1776985949.5446043,2026-04-23T23:12:29.544604Z,0.7849726676940918,0,,,,,0,,,,,,,,,,,,,,
4,1776985949.7440653,2026-04-23T23:12:29.744065Z,0.984433650970459,0,,,,,0,,,,,,,,,,,,,,
5,1776985949.9410288,2026-04-23T23:12:29.941029Z,1.1813971996307373,0,,,,,0,,,,,,,,,,,,,,
6,1776985950.2584457,2026-04-23T23:12:30.258446Z,1.4988141059875488,0,,,,,0,,,,,,,,,,,,,,
7,1776985950.7249398,2026-04-23T23:12:30.724940Z,1.9653081893920898,0,,,,,0,,,,,,,,,,,,,,
8,1776985950.9484074,2026-04-23T23:12:30.948407Z,2.1887757778167725,0,,,,,0,,,,,,,,,,,,,,
9,1776985951.1387804,2026-04-23T23:12:31.138780Z,2.3791487216949463,0,,,,,0,,,,,,,,,,,,,,
10,1776985951.3410866,2026-04-23T23:12:31.341087Z,2.5814549922943115,0,,,,,0,,,,,,,,,,,,,,
11,1776985951.5403848,2026-04-23T23:12:31.540385Z,2.7807531356811523,0,,,,,0,,,,,,,,,,,,,,
12,1776985951.7447505,2026-04-23T23:12:31.744750Z,2.985118865966797,0,,,,,0,,,,,,,,,,,,,,
13,1776985951.9329624,2026-04-23T23:12:31.932962Z,3.173330783843994,0,,,,,0,,,,,,,,,,,,,,
14,1776985952.154546,2026-04-23T23:12:32.154546Z,3.394914388656616,0,,,,,0,,,,,,,,,,,,,,
15,1776985952.3417866,2026-04-23T23:12:32.341787Z,3.5821549892425537,0,,,,,0,,,,,,,,,,,,,,
16,1776985952.5493267,2026-04-23T23:12:32.549327Z,3.7896950244903564,0,,,,,0,,,,,,,,,,,,,,
17,1776985952.7519794,2026-04-23T23:12:32.751979Z,3.9923477172851562,0,,,,,0,,,,,,,,,,,,,,
18,1776985952.942192,2026-04-23T23:12:32.942192Z,4.182560443878174,0,,,,,0,,,,,,,,,,,,,,
19,1776985953.1426318,2026-04-23T23:12:33.142632Z,4.383000135421753,0,,,,,0,,,,,,,,,,,,,,
20,1776985953.3358164,2026-04-23T23:12:33.335816Z,4.5761847496032715,0,,,,,0,,,,,,,,,,,,,,
21,1776985953.5349422,2026-04-23T23:12:33.534942Z,4.775310516357422,0,,,,,0,,,,,,,,,,,,,,
22,1776985953.8044443,2026-04-23T23:12:33.804444Z,5.0448126792907715,0,,,,,0,,,,,,,,,,,,,,
23,1776985954.1203158,2026-04-23T23:12:34.120316Z,5.360684156417847,0,,,,,0,,,,,,,,,,,,,,
24,1776985954.3334763,2026-04-23T23:12:34.333476Z,5.57384467124939,0,,,,,0,,,,,,,,,,,,,,
25,1776985954.5386152,2026-04-23T23:12:34.538615Z,5.7789835929870605,0,,,,,0,,,,,,,,,,,,,,
26,1776985954.738217,2026-04-23T23:12:34.738217Z,5.978585481643677,0,,,,,0,,,,,,,,,,,,,,
27,1776985954.93905,2026-04-23T23:12:34.939050Z,6.179418325424194,0,,,,,0,,,,,,,,,,,,,,
28,1776985955.1358237,2026-04-23T23:12:35.135824Z,6.376192092895508,0,,,,,0,,,,,,,,,,,,,,
29,1776985955.3387995,2026-04-23T23:12:35.338799Z,6.57916784286499,0,,,,,0,,,,,,,,,,,,,,
30,1776985955.565495,2026-04-23T23:12:35.565495Z,6.805863380432129,0,,,,,0,,,,,,,,,,,,,,
31,1776985955.843873,2026-04-23T23:12:35.843873Z,7.0842413902282715,0,,,,,0,,,,,,,,,,,,,,
32,1776985956.048067,2026-04-23T23:12:36.048067Z,7.288435459136963,0,,,,,0,,,,,,,,,,,,,,
33,1776985956.2473278,2026-04-23T23:12:36.247328Z,7.487696170806885,0,,,,,0,,,,,,,,,,,,,,
34,1776985956.4555128,2026-04-23T23:12:36.455513Z,7.695881128311157,0,,,,,0,,,,,,,,,,,,,,
35,1776985956.6454144,2026-04-23T23:12:36.645414Z,7.885782718658447,0,,,,,0,,,,,,,,,,,,,,
36,1776985956.85042,2026-04-23T23:12:36.850420Z,8.0907883644104,0,,,,,0,,,,,,,,,,,,,,
37,1776985957.055232,2026-04-23T23:12:37.055232Z,8.295600414276123,0,,,,,0,,,,,,,,,,,,,,
38,1776985957.2498374,2026-04-23T23:12:37.249837Z,8.490205764770508,0,,,,,0,,,,,,,,,,,,,,
39,1776985957.4687202,2026-04-23T23:12:37.468720Z,8.709088563919067,0,,,,,0,,,,,,,,,,,,,,
40,1776985957.7808719,2026-04-23T23:12:37.780872Z,9.021240234375,0,,,,,0,,,,,,,,,,,,,,
41,1776985958.0614836,2026-04-23T23:12:38.061484Z,9.301851987838745,0,,,,,0,,,,,,,,,,,,,,
42,1776985958.3495712,2026-04-23T23:12:38.349571Z,9.589939594268799,0,,,,,0,,,,,,,,,,,,,,
43,1776985958.5578806,2026-04-23T23:12:38.557881Z,9.798249006271362,0,,,,,0,,,,,,,,,,,,,,
44,1776985958.7555037,2026-04-23T23:12:38.755504Z,9.995872020721436,0,,,,,0,,,,,,,,,,,,,,
45,1776985958.9519439,2026-04-23T23:12:38.951944Z,10.192312240600586,0,,,,,0,,,,,,,,,,,,,,
46,1776985959.1565914,2026-04-23T23:12:39.156591Z,10.396959781646729,0,,,,,0,,,,,,,,,,,,,,
47,1776985959.3555832,2026-04-23T23:12:39.355583Z,10.595951557159424,0,,,,,0,,,,,,,,,,,,,,
48,1776985959.5427556,2026-04-23T23:12:39.542756Z,10.783123970031738,0,,,,,0,,,,,,,,,,,,,,
49,1776985959.7456138,2026-04-23T23:12:39.745614Z,10.985982179641724,0,,,,,0,,,,,,,,,,,,,,
50,1776985959.950682,2026-04-23T23:12:39.950682Z,11.191050291061401,0,,,,,0,,,,,,,,,,,,,,
51,1776985960.1471086,2026-04-23T23:12:40.147109Z,11.387476921081543,0,,,,,0,,,,,,,,,,,,,,
52,1776985960.3454347,2026-04-23T23:12:40.345435Z,11.585803031921387,0,,,,,0,,,,,,,,,,,,,,
53,1776985960.5553918,2026-04-23T23:12:40.555392Z,11.795760154724121,0,,,,,0,,,,,,,,,,,,,,
54,1776985960.7432792,2026-04-23T23:12:40.743279Z,11.983647584915161,0,,,,,0,,,,,,,,,,,,,,
55,1776985960.9463859,2026-04-23T23:12:40.946386Z,12.18675422668457,0,,,,,0,,,,,,,,,,,,,,
56,1776985961.1632178,2026-04-23T23:12:41.163218Z,12.403586149215698,0,,,,,0,,,,,,,,,,,,,,
57,1776985961.4566846,2026-04-23T23:12:41.456685Z,12.697052955627441,0,,,,,0,,,,,,,,,,,,,,
58,1776985961.641889,2026-04-23T23:12:41.641889Z,12.882257461547852,0,,,,,0,,,,,,,,,,,,,,
59,1776985961.8497288,2026-04-23T23:12:41.849729Z,13.090097188949585,0,,,,,0,,,,,,,,,,,,,,
60,1776985962.0594893,2026-04-23T23:12:42.059489Z,13.29985761642456,0,,,,,0,,,,,,,,,,,,,,
61,1776985962.3431418,2026-04-23T23:12:42.343142Z,13.583510160446167,0,,,,,0,,,,,,,,,,,,,,
