tick,wall_time_unix,wall_time_iso,dt_since_start_s,running,pipeline_fps,frames_processed,detections_total,tracks_active,valid_states_cum,invalid_states_cum,latency_total_ms,latency_detect_ms,latency_track_ms,latency_validate_fuse_ms,tracks_kalman,tracks_ukf,tracks_pf,tracks_adaptive
0,1776985948.9391024,2026-04-23T23:12:28.939102Z,0.17947077751159668,True,25.009625647441677,19713,858,0,4164,85,32.458740010042675,32.37220901064575,0.06512198888231069,0.021409010514616966,0,0,0,0
1,1776985949.153813,2026-04-23T23:12:29.153813Z,0.3941812515258789,True,25.009625647441677,19718,858,0,4164,85,33.53836499445606,33.4619139903225,0.05833800241816789,0.018113001715391874,0,0,0,0
2,1776985949.3372388,2026-04-23T23:12:29.337239Z,0.5776071548461914,True,25.009625647441677,19723,858,0,4164,85,34.29986600531265,34.22050300287083,0.060866004787385464,0.01849699765443802,0,0,0,0
3,1776985949.5447025,2026-04-23T23:12:29.544703Z,0.7850708961486816,True,25.009625647441677,19728,858,0,4164,85,31.326919997809455,31.242308992659673,0.06371400377247483,0.02089700137730688,0,0,0,0
4,1776985949.7441604,2026-04-23T23:12:29.744160Z,0.9845287799835205,True,25.009625647441677,19732,858,0,4164,85,32.91005198843777,32.82752099039499,0.06208200647961348,0.02044899156317115,0,0,0,0
5,1776985949.9411256,2026-04-23T23:12:29.941126Z,1.1814939975738525,True,25.009625647441677,19737,858,0,4164,85,34.41420599119738,34.34441199351568,0.052898001740686595,0.016895995941013098,0,0,0,0
6,1776985950.2585387,2026-04-23T23:12:30.258539Z,1.4989070892333984,True,23.868858833933217,19745,858,0,4164,85,32.048483000835404,31.961952001438476,0.06566599768120795,0.0208650017157197,0,0,0,0
7,1776985950.7250314,2026-04-23T23:12:30.725031Z,1.9653997421264648,True,23.868858833933217,19756,858,0,4164,85,30.439845999353565,30.357347000972368,0.06291399768088013,0.019585000700317323,0,0,0,0
8,1776985950.9484992,2026-04-23T23:12:30.948499Z,2.1888675689697266,True,23.868858833933217,19762,858,0,4164,85,31.935199003783055,31.865723998635076,0.04838600580114871,0.02108899934682995,0,0,0,0
9,1776985951.1388862,2026-04-23T23:12:31.138886Z,2.3792545795440674,True,23.868858833933217,19766,858,0,4164,85,32.272940006805584,32.19146501214709,0.0595219898968935,0.021953004761599004,0,0,0,0
