tick,wall_time_unix,wall_time_iso,dt_since_start_s,log_line_age_s,mode,j1_deg,j2_deg,v_j1_deg_per_tick,v_j2_deg_per_tick,cx_norm,cy_norm,raw_log_line
0,1776985727.602733,2026-04-23T23:08:47.602733Z,0.18213725090026855,,,,,,,,,
1,1776985727.7995481,2026-04-23T23:08:47.799548Z,0.3789525032043457,,,,,,,,,
2,1776985728.011455,2026-04-23T23:08:48.011455Z,0.5908594131469727,0.020672082901000977,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
3,1776985728.1989636,2026-04-23T23:08:48.198964Z,0.7783679962158203,0.20818066596984863,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
4,1776985728.4069169,2026-04-23T23:08:48.406917Z,0.986321210861206,0.4161338806152344,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
5,1776985728.6073377,2026-04-23T23:08:48.607338Z,1.1867420673370361,0.6165547370910645,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
6,1776985728.796525,2026-04-23T23:08:48.796525Z,1.375929355621338,0.8057420253753662,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
7,1776985729.0107481,2026-04-23T23:08:49.010748Z,1.5901525020599365,1.0199651718139648,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
8,1776985729.2044258,2026-04-23T23:08:49.204426Z,1.783830165863037,1.2136428356170654,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
9,1776985729.413189,2026-04-23T23:08:49.413189Z,1.9925932884216309,1.4224059581756592,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
10,1776985729.6042023,2026-04-23T23:08:49.604202Z,2.1836066246032715,1.6134192943572998,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
11,1776985729.8064563,2026-04-23T23:08:49.806456Z,2.3858606815338135,1.8156733512878418,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
12,1776985730.0041718,2026-04-23T23:08:50.004172Z,2.583576202392578,2.0133888721466064,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
13,1776985730.2038882,2026-04-23T23:08:50.203888Z,2.783292531967163,2.2131052017211914,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
14,1776985730.4726777,2026-04-23T23:08:50.472678Z,3.052082061767578,2.4818947315216064,COAST,-17.08,-91.31,-0.01,0.0,,,"[COAST] j1=-17.08 j2=-91.31 v=(-0.010,+0.000) (cx=nan, cy=nan)"
15,1776985730.7407107,2026-04-23T23:08:50.740711Z,3.320115089416504,0.021809816360473633,MOVE,-18.04,-90.57,-0.956,0.744,0.82,0.25,"[MOVE] j1=-18.04 j2=-90.57 v=(-0.956,+0.744) (cx=0.82, cy=0.25)"
16,1776985731.0381167,2026-04-23T23:08:51.038117Z,3.617521047592163,0.020864248275756836,MOVE,-25.84,-85.07,-1.016,0.632,0.84,0.29,"[MOVE] j1=-25.84 j2=-85.07 v=(-1.016,+0.632) (cx=0.84, cy=0.29)"
17,1776985731.34829,2026-04-23T23:08:51.348290Z,3.927694320678711,0.01735401153564453,MOVE,-33.39,-80.77,-0.9,0.473,0.8,0.34,"[MOVE] j1=-33.39 j2=-80.77 v=(-0.900,+0.473) (cx=0.80, cy=0.34)"
18,1776985731.6508403,2026-04-23T23:08:51.650840Z,4.2302446365356445,0.023114919662475586,MOVE,-39.4,-77.92,0.164,0.0,0.45,0.47,"[MOVE] j1=-39.40 j2=-77.92 v=(+0.164,+0.000) (cx=0.45, cy=0.47)"
19,1776985732.0006409,2026-04-23T23:08:52.000641Z,4.580045223236084,0.0002105236053466797,MOVE,-35.19,-77.92,0.57,0.0,0.31,0.46,"[MOVE] j1=-35.19 j2=-77.92 v=(+0.570,+0.000) (cx=0.31, cy=0.46)"
20,1776985732.2115917,2026-04-23T23:08:52.211592Z,4.790996074676514,0.01859307289123535,MOVE,-32.23,-77.6,0.515,0.163,0.33,0.45,"[MOVE] j1=-32.23 j2=-77.60 v=(+0.515,+0.163) (cx=0.33, cy=0.45)"
21,1776985732.4246855,2026-04-23T23:08:52.424685Z,5.004089832305908,0.010637760162353516,COAST,-29.35,-76.64,0.394,0.131,,,"[COAST] j1=-29.35 j2=-76.64 v=(+0.394,+0.131) (cx=nan, cy=nan)"
22,1776985732.6987517,2026-04-23T23:08:52.698752Z,5.278156042098999,0.01458287239074707,MOVE,-27.97,-75.21,-0.159,0.506,0.55,0.33,"[MOVE] j1=-27.97 j2=-75.21 v=(-0.159,+0.506) (cx=0.55, cy=0.33)"
23,1776985732.916076,2026-04-23T23:08:52.916076Z,5.495480298995972,0.010178804397583008,MOVE,-29.05,-71.89,-0.203,0.611,0.57,0.3,"[MOVE] j1=-29.05 j2=-71.89 v=(-0.203,+0.611) (cx=0.57, cy=0.30)"
24,1776985733.104682,2026-04-23T23:08:53.104682Z,5.684086322784424,0.014934062957763672,MOVE,-30.04,-68.77,-0.18,0.624,0.56,0.29,"[MOVE] j1=-30.04 j2=-68.77 v=(-0.180,+0.624) (cx=0.56, cy=0.29)"
25,1776985733.306402,2026-04-23T23:08:53.306402Z,5.885806322097778,0.03235745429992676,MOVE,-30.35,-65.65,0.0,0.623,0.51,0.29,"[MOVE] j1=-30.35 j2=-65.65 v=(+0.000,+0.623) (cx=0.51, cy=0.29)"
26,1776985733.502493,2026-04-23T23:08:53.502493Z,6.081897258758545,0.0027985572814941406,MOVE,-30.35,-62.68,0.0,0.4,0.47,0.37,"[MOVE] j1=-30.35 j2=-62.68 v=(+0.000,+0.400) (cx=0.47, cy=0.37)"
