tick,wall_time_unix,wall_time_iso,dt_since_start_s,raw_det_count,raw_x_px,raw_y_px,raw_conf,raw_depth_m,track_count,track_id,x,y,z,vx,vy,vz,pos_uncertainty,vel_uncertainty,confidence,frame,physics_plausible,physics_valid,filter_used_by_adaptive
0,1776986198.6291885,2026-04-23T23:16:38.629189Z,0.1809370517730713,0,,,,,0,,,,,,,,,,,,,,
1,1776986198.826292,2026-04-23T23:16:38.826292Z,0.3780405521392822,0,,,,,0,,,,,,,,,,,,,,
2,1776986199.0338614,2026-04-23T23:16:39.033861Z,0.5856099128723145,0,,,,,0,,,,,,,,,,,,,,
3,1776986199.2318943,2026-04-23T23:16:39.231894Z,0.7836427688598633,0,,,,,0,,,,,,,,,,,,,,
4,1776986199.4456482,2026-04-23T23:16:39.445648Z,0.99739670753479,0,,,,,0,,,,,,,,,,,,,,
5,1776986199.6346505,2026-04-23T23:16:39.634650Z,1.186398983001709,0,,,,,0,,,,,,,,,,,,,,
6,1776986199.8342311,2026-04-23T23:16:39.834231Z,1.3859796524047852,0,,,,,0,,,,,,,,,,,,,,
7,1776986200.036149,2026-04-23T23:16:40.036149Z,1.587897539138794,0,,,,,0,,,,,,,,,,,,,,
8,1776986200.477415,2026-04-23T23:16:40.477415Z,2.0291635990142822,0,,,,,0,,,,,,,,,,,,,,
9,1776986200.7394407,2026-04-23T23:16:40.739441Z,2.291189193725586,0,,,,,0,,,,,,,,,,,,,,
10,1776986200.9335945,2026-04-23T23:16:40.933594Z,2.4853429794311523,0,,,,,0,,,,,,,,,,,,,,
11,1776986201.127002,2026-04-23T23:16:41.127002Z,2.678750514984131,0,,,,,0,,,,,,,,,,,,,,
12,1776986201.3319767,2026-04-23T23:16:41.331977Z,2.883725166320801,0,,,,,0,,,,,,,,,,,,,,
13,1776986201.5402458,2026-04-23T23:16:41.540246Z,3.091994285583496,0,,,,,0,,,,,,,,,,,,,,
14,1776986201.7295306,2026-04-23T23:16:41.729531Z,3.2812790870666504,0,,,,,0,,,,,,,,,,,,,,
15,1776986201.9239502,2026-04-23T23:16:41.923950Z,3.475698709487915,0,,,,,0,,,,,,,,,,,,,,
