tick,wall_time_unix,wall_time_iso,dt_since_start_s,running,pipeline_fps,frames_processed,detections_total,tracks_active,valid_states_cum,invalid_states_cum,latency_total_ms,latency_detect_ms,latency_track_ms,latency_validate_fuse_ms,tracks_kalman,tracks_ukf,tracks_pf,tracks_adaptive
0,1776985727.6027875,2026-04-23T23:08:47.602787Z,0.1821918487548828,True,24.86423770432814,14666,7,0,31,0,34.81732800719328,34.727436999673955,0.06822599971201271,0.021665007807314396,0,0,0,0
1,1776985727.7995818,2026-04-23T23:08:47.799582Z,0.378986120223999,True,24.86423770432814,14671,7,0,31,0,31.693508004536852,31.60630499769468,0.06563399801962078,0.02156900882255286,0,0,0,0
2,1776985728.011491,2026-04-23T23:08:48.011491Z,0.590895414352417,True,24.86423770432814,14675,7,0,31,0,37.45649001211859,37.36458301136736,0.07110599835868925,0.020801002392545342,0,0,0,0
3,1776985728.1990018,2026-04-23T23:08:48.199002Z,0.7784061431884766,True,24.86423770432814,14680,7,0,31,0,30.78858098888304,30.717409987119026,0.05379400681704283,0.017376994946971536,0,0,0,0
4,1776985728.406954,2026-04-23T23:08:48.406954Z,0.9863584041595459,True,24.86423770432814,14685,7,0,31,0,33.204728009877726,33.11883700371254,0.06409799971152097,0.02179300645366311,0,0,0,0
5,1776985728.607377,2026-04-23T23:08:48.607377Z,1.186781406402588,True,24.86423770432814,14690,7,0,31,0,32.48681499098893,32.402907992945984,0.0632029987173155,0.02070399932563305,0,0,0,0
6,1776985728.7965636,2026-04-23T23:08:48.796564Z,1.3759679794311523,True,24.86423770432814,14694,7,0,31,0,31.874409993179142,31.78247099276632,0.06937800208106637,0.0225609983317554,0,0,0,0
7,1776985729.0107834,2026-04-23T23:08:49.010783Z,1.5901877880096436,True,24.86423770432814,14699,7,0,31,0,31.98135799902957,31.90737198747229,0.054082003771327436,0.01990400778595358,0,0,0,0
8,1776985729.204463,2026-04-23T23:08:49.204463Z,1.783867359161377,True,24.86423770432814,14704,7,0,31,0,31.685378999100067,31.612417005817406,0.053858006140217185,0.019103987142443657,0,0,0,0
9,1776985729.4132242,2026-04-23T23:08:49.413224Z,1.992628574371338,True,24.86423770432814,14709,7,0,31,0,30.07226799672935,29.992361000040546,0.05996999971102923,0.01993699697777629,0,0,0,0
10,1776985729.6042407,2026-04-23T23:08:49.604241Z,2.183645009994507,True,23.785259174870394,14714,7,0,31,0,32.814217993291095,32.74275999865495,0.053377996664494276,0.01807999797165394,0,0,0,0
11,1776985729.8064945,2026-04-23T23:08:49.806494Z,2.3858988285064697,True,23.785259174870394,14719,7,0,31,0,31.753798000863753,31.6608989960514,0.07286699838005006,0.020032006432302296,0,0,0,0
12,1776985730.0042083,2026-04-23T23:08:50.004208Z,2.5836126804351807,True,23.785259174870394,14724,7,0,31,0,33.12098199967295,33.04379498877097,0.05718600004911423,0.020001010852865875,0,0,0,0
13,1776985730.203924,2026-04-23T23:08:50.203924Z,2.7833282947540283,True,23.785259174870394,14728,7,0,31,0,32.405980993644334,32.32418600236997,0.061121987528167665,0.020673003746196628,0,0,0,0
