loop_index,last_step_ns,imu_time_ns,bmp_time_ns,epoch_time_ns,v_batt,alt_bmp_raw,bmp_temp,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,mag_X, mag_Y, mag_Z,roll,pitch,yaw,rollDot,pitchDot,yawDot,X,Y,Z,Xdot,Ydot,Zdot,Zddot,xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,xbee_roll,xbee_pitch,xbee_yaw,gps_lat,gps_lon,gps_gpsAlt,gps_ned_x,gps_ned_y,gps_ned_z,gps_spd,gps_fix,gps_sat,gps_headingNc,gps_cog,gps_gpsVsi,gps_hdop,gps_vdop,gps_year,gps_month,gps_day,gps_hour,gps_minute,gps_second,gps_time_received_ns,X_thrt,Y_thrt,Z_thrt,roll_thrt,pitch_thrt,yaw_thrt,sp_roll_dot,sp_pitch_dot,sp_yaw_dot,sp_roll_dot_ff,sp_pitch_dot_ff,sp_yaw_dot_ff,sp_roll,sp_pitch,sp_yaw,sp_roll_ff,sp_pitch_ff,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,sp_Xdot_ff,sp_Ydot_ff,sp_Zdot_ff,sp_Xddot,sp_Yddot,sp_Zddot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,dsm_con,flight_mode,tIMU,tIMU_END,tSM,tXBEE,tGPS,tPNI,tNAV,tGUI,tCTR,tLOG,tNTP
1,1749740677952530145,1749740677950832093,1749740677950832093,1749740677952535269,16.4622,560.8423,33.8000,0.0117,-0.0192,0.0075,-0.4526,0.0885,-9.5099,0.0000,0.0000,0.0000,0.0679,-0.1416,0.0917,0.0121,-0.0179,0.0068,0.0223,0.0764,-0.1046,-0.0001,-0.0001,-0.0000,0.0000,4151581101,1749740677951022061,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740677950836883,1749740677946299217,1749740677951047557,1749740677951029852,1749740677951059305,1749740677951061055,1749740677951385709,1749740677952496317,1749740677952531437,1749740677946297301,0
2,1749740677956791607,1749740677956201954,1749740677956201954,1749740677956796273,16.4631,560.8423,33.8000,0.0138,-0.0170,0.0064,-0.4478,0.1005,-9.5314,0.0000,0.0000,0.0000,0.0679,-0.1416,0.0917,0.0127,-0.0176,0.0066,0.0223,0.0764,-0.1046,-0.0000,-0.0002,-0.0000,0.0000,4151588293,1749740677956392256,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740677956206412,1749740677952549559,1749740677956417710,1749740677956400172,1749740677956428917,1749740677956431000,1749740677956752197,1749740677956758529,1749740677956792773,1749740677952547767,0
3,1749740677961136180,1749740677960698961,1749740677960698961,1749740677961140846,16.4619,560.8423,33.8000,0.0107,-0.0160,0.0064,-0.4287,0.0909,-9.5242,0.0000,0.0000,0.0000,0.0679,-0.1416,0.0917,0.0120,-0.0171,0.0066,0.0223,0.0764,-0.1046,-0.0000,-0.0002,-0.0000,0.0000,4151588293,1749740677956392256,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740677960703626,1749740677956810395,1749740677960758617,1749740677960745953,1749740677960769949,1749740677960771699,1749740677961097186,1749740677961103185,1749740677961137346,1749740677956808312,0
4,1749740677966364523,1749740677965699633,1749740677965699633,1749740677966369523,16.4610,560.8423,33.8000,0.0128,-0.0149,0.0064,-0.4335,0.0957,-9.4646,0.0000,0.0000,0.0000,0.0679,-0.1416,0.0917,0.0123,-0.0163,0.0065,0.0223,0.0764,-0.1046,-0.0000,-0.0002,-0.0001,0.0000,4151597639,1749740677965884478,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740677965704466,1749740677961156802,1749740677965909390,1749740677965892768,1749740677965920805,1749740677965922555,1749740677966323822,1749740677966330737,1749740677966365732,1749740677961154719,0
5,1749740677971428311,1749740677970952765,1749740677970952765,1749740677971433310,16.4602,560.8423,33.8000,0.0138,-0.0181,0.0064,-0.4167,0.0933,-9.5314,0.0000,0.0000,0.0000,0.0679,-0.1416,0.0917,0.0128,-0.0169,0.0065,0.0223,0.0764,-0.1046,-0.0000,-0.0002,-0.0001,0.0000,4151597639,1749740677965884478,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740677970957222,1749740677966385353,1749740677971050207,1749740677971037667,1749740677971061872,1749740677971063663,1749740677971389192,1749740677971395150,1749740677971429519,1749740677966383479,0
6,1749740677976255679,1749740677975677025,1749740677975677025,1749740677976260387,16.4540,560.8715,33.8000,0.0117,-0.0160,0.0043,-0.3832,0.1244,-9.5290,0.0000,0.0000,0.0000,0.0679,-0.1416,0.0917,0.0124,-0.0166,0.0057,0.0223,0.0764,-0.1046,-0.0001,-0.0002,-0.0000,0.0000,4151605238,1749740677975858953,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740677975681441,1749740677972135819,1749740677975884491,1749740677975866993,1749740677975896197,1749740677975898030,1749740677976216769,1749740677976223309,1749740677976256887,1749740677971446225,0
7,1749740677982008436,1749740677981407369,1749740677981407369,1749740677982013102,16.4467,560.8715,33.8000,0.0160,-0.0202,0.0075,-1.0729,-0.3613,-9.5051,0.0000,0.0000,0.0000,0.0679,-0.1416,0.0917,0.0136,-0.0178,0.0063,0.0223,0.0764,-0.1046,-0.0001,-0.0002,-0.0000,0.0000,4151605238,1749740677975858953,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740677981411868,1749740677976275468,1749740677981533598,1749740677981521017,1749740677981545179,1749740677981546971,1749740677981968484,1749740677981974442,1749740677982009602,1749740677976273510,0
8,1749740677986298726,1749740677985683078,1749740677985683078,1749740677986303476,16.4375,560.8715,33.8000,0.0053,-0.0202,0.0021,0.1605,0.6149,-9.9656,0.0000,0.0000,0.0000,0.0679,-0.1416,0.0917,0.0109,-0.0186,0.0049,0.0223,0.0764,-0.1046,-0.0000,-0.0001,-0.0001,0.0000,4151614430,1749740677985814098,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740677985687786,1749740677982027933,1749740677985838886,1749740677985822013,1749740677985850384,1749740677985852133,1749740677986258900,1749740677986265065,1749740677986299934,1749740677982026058,0
9,1749740677991159547,1749740677990579560,1749740677990579560,1749740677991164338,16.4293,560.8715,33.8000,0.0085,0.0043,-0.0234,-0.8047,0.7848,-9.6292,0.0000,0.0000,0.0000,0.0678,-0.1415,0.0917,0.0101,-0.0110,-0.0045,0.0223,0.0764,-0.1046,-0.0001,-0.0001,-0.0001,0.0000,4151622329,1749740677990762405,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740677990584351,1749740677986317890,1749740677990788775,1749740677990770987,1749740677990800690,1749740677990802481,1749740677991120429,1749740677991127303,1749740677991160755,1749740677986316015,0
10,1749740677996001121,1749740677995573109,1749740677995573109,1749740677996005829,16.4218,560.8715,33.8000,0.0373,-0.0181,-0.0234,-0.7664,0.2871,-8.6582,0.0000,0.0000,0.0000,0.0679,-0.1415,0.0917,0.0191,-0.0134,-0.0108,0.0223,0.0764,-0.1046,-0.0001,-0.0001,-0.0001,0.0000,4151622329,1749740677990762405,0.0223,0.0764,-0.1046,0.9989,0.0008,-0.0008,0.0458,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.000,0.000,0.000,0.000,0.000,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.0000,0.0000,-0.0500,0.0000,0.0000,0.0400,-0.0997,0.1943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0000,0.0000,-0.0500,0.2361,0.2361,0.1748,0.1748,1,5,1749740677995577650,1749740677991179169,1749740677995625559,1749740677995612394,1749740677995637182,1749740677995638973,1749740677995962878,1749740677995969085,1749740677996002330,1749740677991177253,0
