Frame,Time (Seconds),QX,QY,QZ,QW,X,Y,Z
0,0,,,,,,,
1,0.008333,,,,,,,
2,0.016667,,,,,,,
3,0.025,,,,,,,
4,0.033333,,,,,,,
5,0.041667,,,,,,,
6,0.05,,,,,,,
7,0.058333,,,,,,,
8,0.066667,,,,,,,
9,0.075,,,,,,,
10,0.083333,,,,,,,
11,0.091667,,,,,,,
12,0.1,,,,,,,
13,0.108333,,,,,,,
14,0.116667,,,,,,,
15,0.125,,,,,,,
16,0.133333,,,,,,,
17,0.141667,,,,,,,
18,0.15,,,,,,,
19,0.158333,,,,,,,
20,0.166667,,,,,,,
21,0.175,,,,,,,
22,0.183333,,,,,,,
23,0.191667,,,,,,,
24,0.2,,,,,,,
25,0.208333,,,,,,,
26,0.216667,,,,,,,
27,0.225,,,,,,,
28,0.233333,,,,,,,
29,0.241667,,,,,,,
30,0.25,,,,,,,
31,0.258333,,,,,,,
32,0.266667,,,,,,,
33,0.275,,,,,,,
34,0.283333,,,,,,,
35,0.291667,,,,,,,
36,0.3,,,,,,,
37,0.308333,,,,,,,
38,0.316667,,,,,,,
39,0.325,,,,,,,
40,0.333333,,,,,,,
41,0.341667,,,,,,,
42,0.35,,,,,,,
43,0.358333,,,,,,,
44,0.366667,,,,,,,
45,0.375,,,,,,,
46,0.383333,,,,,,,
47,0.391667,,,,,,,
48,0.4,,,,,,,
49,0.408333,,,,,,,
50,0.416667,,,,,,,
51,0.425,,,,,,,
52,0.433333,,,,,,,
53,0.441667,,,,,,,
54,0.45,,,,,,,
55,0.458333,,,,,,,
56,0.466667,,,,,,,
57,0.475,,,,,,,
58,0.483333,,,,,,,
59,0.491667,,,,,,,
60,0.5,,,,,,,
61,0.508333,,,,,,,
62,0.516667,,,,,,,
63,0.525,,,,,,,
64,0.533333,,,,,,,
65,0.541667,,,,,,,
66,0.55,,,,,,,
67,0.558333,,,,,,,
68,0.566667,,,,,,,
69,0.575,,,,,,,
70,0.583333,,,,,,,
71,0.591667,,,,,,,
72,0.6,,,,,,,
73,0.608333,,,,,,,
74,0.616667,,,,,,,
75,0.625,,,,,,,
76,0.633333,,,,,,,
77,0.641667,,,,,,,
78,0.65,,,,,,,
79,0.658333,,,,,,,
80,0.666667,,,,,,,
81,0.675,,,,,,,
82,0.683333,,,,,,,
83,0.691667,,,,,,,
