Frame,Time (Seconds),QX,QY,QZ,QW,X,Y,Z
0,0.000000,0.000024,-0.000178,-0.991118,0.132989,19.099879,57.890780,16.035145
1,0.008333,0.000215,-0.001599,-0.991116,0.132989,19.100619,57.889713,16.035126
2,0.016667,0.000428,-0.003187,-0.991112,0.132988,19.101282,57.887883,16.035210
3,0.025000,0.000616,-0.004589,-0.991107,0.132987,19.101569,57.885581,16.035097
4,0.033333,0.000803,-0.005983,-0.991099,0.132986,19.101877,57.882934,16.034751
5,0.041667,0.001012,-0.007541,-0.991089,0.132985,19.102077,57.879605,16.034172
6,0.050000,0.001196,-0.008915,-0.991077,0.132983,19.102217,57.876318,16.033625
7,0.058333,0.001379,-0.010280,-0.991064,0.132982,19.102395,57.872970,16.032909
8,0.066667,0.001584,-0.011804,-0.991047,0.132980,19.102273,57.868838,16.032133
9,0.075000,0.001764,-0.013149,-0.991030,0.132979,19.101680,57.865076,16.031225
10,0.083333,0.001943,-0.014483,-0.991011,0.132977,19.101205,57.861189,16.030218
11,0.091667,0.002143,-0.015972,-0.990988,0.132976,19.100771,57.856597,16.028726
12,0.100000,0.002319,-0.017285,-0.990966,0.132974,19.100798,57.852306,16.027365
13,0.108333,0.002494,-0.018588,-0.990942,0.132972,19.100611,57.847640,16.026270
14,0.116667,0.002527,-0.018830,-0.990938,0.132973,19.100583,57.841884,16.025261
15,0.125000,0.002527,-0.018829,-0.990937,0.132975,19.100418,57.836340,16.024223
16,0.133333,0.002527,-0.018828,-0.990937,0.132976,19.099931,57.830221,16.023285
17,0.141667,0.002527,-0.018827,-0.990937,0.132978,19.099289,57.822798,16.022529
18,0.150000,0.002527,-0.018827,-0.990937,0.132980,19.098685,57.815674,16.022244
19,0.158333,0.002527,-0.018827,-0.990936,0.132982,19.097808,57.808155,16.022109
20,0.166667,0.002527,-0.018826,-0.990936,0.132985,19.096694,57.799216,16.022212
21,0.175000,0.002527,-0.018827,-0.990936,0.132987,19.095479,57.790837,16.022231
22,0.183333,0.002527,-0.018827,-0.990935,0.132989,19.094117,57.782225,16.021952
